date,NO2
2025-08-31,3.774e-05
2025-09-01,3.116e-05
2025-09-02,2.577e-05
2025-09-03,2.038e-05
2025-09-04,5.897e-05
2025-09-05,4.967e-05
2025-09-06,5.135333333333333e-05
2025-09-07,5.3036666666666667e-05
2025-09-08,5.472e-05
2025-09-09,4.2325e-05
2025-09-10,2.993e-05
2025-09-11,2.349e-05
2025-09-12,4.967e-05
2025-09-13,3.09e-05
2025-09-14,6.465e-05
2025-09-15,7.201e-05
2025-09-16,2.282e-05
2025-09-17,2.22175e-05
2025-09-18,2.1615e-05
2025-09-19,2.10125e-05
2025-09-20,2.041e-05
2025-09-21,3.053e-05
2025-09-22,9.527e-05
2025-09-23,3.052e-05
2025-09-24,4.164e-05
2025-09-25,5.477e-05
2025-09-26,3.997e-05
2025-09-27,2.517e-05
2025-09-28,3.409e-05
2025-09-29,4.301e-05
2025-09-30,3.6853333333333335e-05
2025-10-01,3.069666666666667e-05
2025-10-02,2.454e-05
2025-10-03,3.001e-05
2025-10-04,7.288e-05
2025-10-05,2.841e-05
2025-10-06,3.211e-05
2025-10-07,5.675e-05
2025-10-08,3.709e-05
2025-10-09,4.835e-05
2025-10-10,4.479e-05
2025-10-11,4.0255e-05
2025-10-12,3.572e-05
2025-10-13,2.9905e-05
2025-10-14,2.409e-05
2025-10-15,3.853e-05
2025-10-16,7.325e-05
2025-10-17,4.823e-05
2025-10-18,3.946e-05
2025-10-19,3.069e-05
2025-10-20,3.352285714285714e-05
2025-10-21,3.635571428571428e-05
2025-10-22,3.918857142857143e-05
2025-10-23,4.202142857142857e-05
2025-10-24,4.4854285714285714e-05
2025-10-25,4.7687142857142856e-05
2025-10-26,5.052e-05
2025-10-27,4.266e-05
2025-10-28,3.48e-05
2025-10-29,3.95e-05
2025-10-30,4.42e-05
2025-10-31,3.8685999999999995e-05
2025-11-01,3.3172e-05
2025-11-02,2.7658e-05
2025-11-03,2.2143999999999997e-05
2025-11-04,1.663e-05
2025-11-05,2.485e-05
2025-11-06,2.3815e-05
2025-11-07,2.278e-05
2025-11-08,2.6235e-05
2025-11-09,2.9690000000000002e-05
2025-11-10,3.3145e-05
2025-11-11,3.66e-05
2025-11-12,3.524555555555556e-05
2025-11-13,3.3891111111111114e-05
2025-11-14,3.253666666666667e-05
2025-11-15,3.118222222222222e-05
2025-11-16,2.9827777777777778e-05
2025-11-17,2.847333333333333e-05
2025-11-18,2.7118888888888887e-05
2025-11-19,2.5764444444444442e-05
2025-11-20,2.441e-05
2025-11-21,2.907e-05
2025-11-22,2.910090909090909e-05
2025-11-23,2.9131818181818184e-05
2025-11-24,2.9162727272727274e-05
2025-11-25,2.9193636363636363e-05
2025-11-26,2.9224545454545456e-05
2025-11-27,2.9255454545454546e-05
2025-11-28,2.928636363636364e-05
2025-11-29,2.931727272727273e-05
2025-11-30,2.934818181818182e-05
2025-12-01,2.937909090909091e-05
2025-12-02,2.941e-05
2025-12-03,1.813e-05
2025-12-04,1.895e-05
2025-12-05,1.977e-05
2025-12-06,2.289e-05
2025-12-07,2.601e-05
2025-12-08,2.281e-05
2025-12-09,2.255e-05
2025-12-10,2.2290000000000002e-05
2025-12-11,2.203e-05
2025-12-12,2.53e-06
2025-12-13,1.031e-05
2025-12-14,1.809e-05
2025-12-15,2.587e-05
2025-12-16,1.709e-05
2025-12-17,8.31e-06
2025-12-18,2.864e-05
2025-12-19,2.727e-05
2025-12-20,2.59e-05
2025-12-21,2.4529999999999997e-05
2025-12-22,2.316e-05
2025-12-23,1.566e-05
2025-12-24,2.057e-05
2025-12-25,1.56e-05
2025-12-26,1.8056666666666666e-05
2025-12-27,2.0513333333333332e-05
2025-12-28,2.297e-05
2025-12-29,2.571e-05
2025-12-30,2.5315e-05
2025-12-31,2.492e-05
2026-01-01,2.4525e-05
2026-01-02,2.413e-05
2026-01-03,2.3735e-05
2026-01-04,2.334e-05
2026-01-05,2.151e-05
2026-01-06,1.968e-05
2026-01-07,1.785e-05
2026-01-08,1.602e-05
2026-01-09,1.963e-05
2026-01-10,2.3239999999999998e-05
2026-01-11,2.685e-05
2026-01-12,3.0459999999999996e-05
2026-01-13,3.407e-05
2026-01-14,3.213e-05
2026-01-15,3.0189999999999997e-05
2026-01-16,2.825e-05
2026-01-17,2.6309999999999997e-05
2026-01-18,2.437e-05
2026-01-19,2.243e-05
2026-01-20,2.0490000000000002e-05
2026-01-21,1.855e-05
2026-01-22,1.6610000000000002e-05
2026-01-23,1.467e-05
2026-01-24,1.273e-05
2026-01-25,3.164e-05
2026-01-26,2.66825e-05
2026-01-27,2.1725e-05
2026-01-28,1.67675e-05
2026-01-29,1.181e-05
2026-01-30,2.441e-05
2026-01-31,4.799e-05
2026-02-01,3.865333333333333e-05
2026-02-02,2.9316666666666667e-05
2026-02-03,1.998e-05
2026-02-04,3.187e-05
2026-02-05,3.120545454545454e-05
2026-02-06,3.054090909090909e-05
