no,feature_name
1,abs_energy
2,auc
3,autocorr
4,average_power
5,calc_centroid
6,calc_max
7,calc_mean
8,calc_median
9,calc_min
10,calc_std
11,calc_var
12,dfa
13,distance
14,ecdf
15,ecdf_percentile
16,ecdf_percentile_count
17,ecdf_slope
18,entropy
19,fundamental_frequency
20,higuchi_fractal_dimension
21,hist_mode
22,human_range_energy
23,hurst_exponent
24,interq_range
25,kurtosis
26,lempel_ziv
27,lpcc
28,max_frequency
29,max_power_spectrum
30,maximum_fractal_length
31,mean_abs_deviation
32,mean_abs_diff
33,mean_diff
34,median_abs_deviation
35,median_abs_diff
36,median_diff
37,median_frequency
38,mfcc
39,mse
40,negative_turning
41,neighbourhood_peaks
42,petrosian_fractal_dimension
43,pk_pk_distance
44,positive_turning
45,power_bandwidth
46,rms
47,skewness
48,slope
49,spectral_centroid
50,spectral_decrease
51,spectral_distance
52,spectral_entropy
53,spectral_kurtosis
54,spectral_positive_turning
55,spectral_roll_off
56,spectral_roll_on
57,spectral_skewness
58,spectral_slope
59,spectral_spread
60,spectral_variation
61,spectrogram_mean_coeff
62,sum_abs_diff
63,wavelet_abs_mean
64,wavelet_energy
65,wavelet_entropy
66,wavelet_std
67,wavelet_var
68,zero_cross
