pollutant,feature_name,domain,tsfel_config_name,value
NO2,0_Absolute energy,statistical,Absolute energy,7.048256945069819e-07
NO2,0_Average power,statistical,Average power,1.9310293000191284e-09
NO2,0_ECDF_0,statistical,ECDF,0.00273224043715847
NO2,0_ECDF_1,statistical,ECDF,0.00546448087431694
NO2,0_ECDF_2,statistical,ECDF,0.00819672131147541
NO2,0_ECDF_3,statistical,ECDF,0.01092896174863388
NO2,0_ECDF_4,statistical,ECDF,0.01366120218579235
NO2,0_ECDF_5,statistical,ECDF,0.01639344262295082
NO2,0_ECDF_6,statistical,ECDF,0.01912568306010929
NO2,0_ECDF_7,statistical,ECDF,0.02185792349726776
NO2,0_ECDF_8,statistical,ECDF,0.02459016393442623
NO2,0_ECDF_9,statistical,ECDF,0.0273224043715847
NO2,0_ECDF Percentile_0,statistical,ECDF Percentile,2.282e-05
NO2,0_ECDF Percentile_1,statistical,ECDF Percentile,5.236363636363636e-05
NO2,0_ECDF Percentile Count_0,statistical,ECDF Percentile Count,73.0
NO2,0_ECDF Percentile Count_1,statistical,ECDF Percentile Count,292.0
NO2,0_Entropy,statistical,Entropy,0.99807491539929
NO2,0_Histogram mode,statistical,Histogram mode,2.8000000000000003e-05
NO2,0_Interquartile range,statistical,Interquartile range,2.4455000000000002e-05
NO2,0_Kurtosis,statistical,Kurtosis,1.1419816760392463
NO2,0_Max,statistical,Max,0.00011149
NO2,0_Mean,statistical,Mean,3.888994535519125e-05
NO2,0_Mean absolute deviation,statistical,Mean absolute deviation,1.6046861405547778e-05
NO2,0_Median,statistical,Median,3.1755e-05
NO2,0_Median absolute deviation,statistical,Median absolute deviation,1.0373749999999995e-05
NO2,0_Min,statistical,Min,1.7e-07
NO2,0_Peak to peak distance,statistical,Peak to peak distance,0.00011132000000000001
NO2,0_Root mean square,statistical,Root mean square,4.388340533368255e-05
NO2,0_Skewness,statistical,Skewness,1.1668520245506262
NO2,0_Standard deviation,statistical,Standard deviation,2.033040614327505e-05
NO2,0_Variance,statistical,Variance,4.133254139505159e-10
NO2,0_Area under the curve,temporal,Area under the curve,0.01419018
NO2,0_Autocorrelation,temporal,Autocorrelation,3.0
NO2,0_Centroid,temporal,Centroid,226.0440675097513
NO2,0_Mean absolute diff,temporal,Mean absolute diff,1.190268493150685e-05
NO2,0_Mean diff,temporal,Mean diff,3.1780821917808146e-08
NO2,0_Median absolute diff,temporal,Median absolute diff,5.7050000000000004e-06
NO2,0_Median diff,temporal,Median diff,-6.64545454545452e-07
NO2,0_Negative turning points,temporal,Negative turning points,71.0
NO2,0_Neighbourhood peaks,temporal,Neighbourhood peaks,17.0
NO2,0_Positive turning points,temporal,Positive turning points,70.0
NO2,0_Signal distance,temporal,Signal distance,365.0000000635314
NO2,0_Slope,temporal,Slope,7.366046872032917e-08
NO2,0_Sum absolute diff,temporal,Sum absolute diff,0.00434448
NO2,0_Zero crossing rate,temporal,Zero crossing rate,0.0
NO2,0_Spectrogram mean coefficient_0.02Hz,spectral,Spectrogram mean coefficient,9.202758005949652e-10
NO2,0_Spectrogram mean coefficient_0.03Hz,spectral,Spectrogram mean coefficient,1.8093452082267395e-09
NO2,0_Spectrogram mean coefficient_0.05Hz,spectral,Spectrogram mean coefficient,4.504614895655676e-10
NO2,0_Spectrogram mean coefficient_0.06Hz,spectral,Spectrogram mean coefficient,6.069296674183334e-10
NO2,0_Spectrogram mean coefficient_0.08Hz,spectral,Spectrogram mean coefficient,7.405196530371308e-10
NO2,0_Spectrogram mean coefficient_0.0Hz,spectral,Spectrogram mean coefficient,8.848068869229057e-11
NO2,0_Spectrogram mean coefficient_0.11Hz,spectral,Spectrogram mean coefficient,1.5738825878748786e-09
NO2,0_Spectrogram mean coefficient_0.13Hz,spectral,Spectrogram mean coefficient,1.1622718156056729e-09
NO2,0_Spectrogram mean coefficient_0.15Hz,spectral,Spectrogram mean coefficient,4.28204379979892e-10
NO2,0_Spectrogram mean coefficient_0.16Hz,spectral,Spectrogram mean coefficient,5.422162670197473e-10
NO2,0_Spectrogram mean coefficient_0.18Hz,spectral,Spectrogram mean coefficient,4.419370666895824e-10
NO2,0_Spectrogram mean coefficient_0.19Hz,spectral,Spectrogram mean coefficient,2.1817384894035077e-10
NO2,0_Spectrogram mean coefficient_0.1Hz,spectral,Spectrogram mean coefficient,1.3186118843102357e-09
NO2,0_Spectrogram mean coefficient_0.21Hz,spectral,Spectrogram mean coefficient,3.664162125089068e-10
NO2,0_Spectrogram mean coefficient_0.23Hz,spectral,Spectrogram mean coefficient,5.343698934741968e-10
NO2,0_Spectrogram mean coefficient_0.24Hz,spectral,Spectrogram mean coefficient,4.693628310475215e-10
NO2,0_Spectrogram mean coefficient_0.26Hz,spectral,Spectrogram mean coefficient,2.3953777141677425e-10
NO2,0_Spectrogram mean coefficient_0.27Hz,spectral,Spectrogram mean coefficient,3.978116483165712e-10
NO2,0_Spectrogram mean coefficient_0.29Hz,spectral,Spectrogram mean coefficient,4.657401836010024e-10
NO2,0_Spectrogram mean coefficient_0.31Hz,spectral,Spectrogram mean coefficient,2.2452316216449106e-10
CO,0_Absolute energy,statistical,Absolute energy,0.32278047202835936
CO,0_Average power,statistical,Average power,0.0008843300603516694
CO,0_ECDF_0,statistical,ECDF,0.00273224043715847
CO,0_ECDF_1,statistical,ECDF,0.00546448087431694
CO,0_ECDF_2,statistical,ECDF,0.00819672131147541
CO,0_ECDF_3,statistical,ECDF,0.01092896174863388
CO,0_ECDF_4,statistical,ECDF,0.01366120218579235
CO,0_ECDF_5,statistical,ECDF,0.01639344262295082
CO,0_ECDF_6,statistical,ECDF,0.01912568306010929
CO,0_ECDF_7,statistical,ECDF,0.02185792349726776
CO,0_ECDF_8,statistical,ECDF,0.02459016393442623
CO,0_ECDF_9,statistical,ECDF,0.0273224043715847
CO,0_ECDF Percentile_0,statistical,ECDF Percentile,0.02646773
CO,0_ECDF Percentile_1,statistical,ECDF Percentile,0.03248593
CO,0_ECDF Percentile Count_0,statistical,ECDF Percentile Count,73.0
CO,0_ECDF Percentile Count_1,statistical,ECDF Percentile Count,292.0
CO,0_Entropy,statistical,Entropy,1.0000000000000002
CO,0_Histogram mode,statistical,Histogram mode,0.0292625405
CO,0_Interquartile range,statistical,Interquartile range,0.004911871538461541
CO,0_Kurtosis,statistical,Kurtosis,-0.2080622739120206
CO,0_Max,statistical,Max,0.03886229
CO,0_Mean,statistical,Mean,0.02949328833333333
CO,0_Mean absolute deviation,statistical,Mean absolute deviation,0.0027903588030685155
CO,0_Median,statistical,Median,0.02917436
CO,0_Median absolute deviation,statistical,Median absolute deviation,0.0024442433333333336
CO,0_Min,statistical,Min,0.0214082
CO,0_Peak to peak distance,statistical,Peak to peak distance,0.017454090000000002
CO,0_Root mean square,statistical,Root mean square,0.029697034498430676
CO,0_Skewness,statistical,Skewness,0.332888557184955
CO,0_Standard deviation,statistical,Standard deviation,0.003472722460526562
CO,0_Variance,statistical,Variance,1.2059801287845658e-05
CO,0_Area under the curve,temporal,Area under the curve,10.763923725
CO,0_Autocorrelation,temporal,Autocorrelation,4.0
CO,0_Centroid,temporal,Centroid,182.67494286087995
CO,0_Mean absolute diff,temporal,Mean absolute diff,0.0018477094520547943
CO,0_Mean diff,temporal,Mean diff,2.8064520547945187e-05
CO,0_Median absolute diff,temporal,Median absolute diff,0.0011208350000000006
CO,0_Median diff,temporal,Median diff,-0.00014003500000000016
CO,0_Negative turning points,temporal,Negative turning points,61.0
CO,0_Neighbourhood peaks,temporal,Neighbourhood peaks,14.0
CO,0_Positive turning points,temporal,Positive turning points,61.0
CO,0_Signal distance,temporal,Signal distance,365.001358384961
CO,0_Slope,temporal,Slope,1.4495501568199249e-07
CO,0_Sum absolute diff,temporal,Sum absolute diff,0.6744139499999999
CO,0_Zero crossing rate,temporal,Zero crossing rate,0.0
