Polutan,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
CO,1,2,0.9488998864224819,0.016955115122740803,1749.4307622516956,25.45158390607277,0.5395496200775334
CO,1,3,0.5493574149409106,0.4149494969492385,1918.417840267942,11.397790057477218,0.5395496200775334
CO,1,4,0.5537297174430116,0.305469721020522,2313.5730538504467,6.1403900279700485,0.5395496200775334
CO,1,5,0.6155592644272019,0.25214399585133124,4066.5704791246,2.5477371770783663,0.5395496200775334
CO,1,6,0.6206076804870673,0.23149431527149755,6471.2155150103235,1.2420423495038493,0.5395496200775334
CO,1,7,0.5592397696156887,0.2994806671759821,9614.87617696611,0.6744457061690103,0.5395496200775334
CO,1,8,0.5371038698854685,0.33091356856666004,12101.767449139666,0.4440674879369645,0.5395496200775334
CO,1,9,0.5509849330777753,0.2809377204632911,13730.297710325081,0.3306921379501768,0.5395496200775334
CO,1,10,0.5623782415669222,0.28950620399113025,17630.9741257108,0.22075854717193494,0.5395496200775334
CO,2,2,0.8850776879599994,0.05889324374347023,76.4742268018285,586.1626816149906,0.7762641130159474
CO,2,3,0.8420287416681642,0.06237790662602181,188.55412976458285,154.40000304058816,0.7762641130159474
CO,2,4,0.6770907141202355,0.15585920543902698,257.71301190236426,76.42379118320704,0.7762641130159474
CO,2,5,0.5134233281383805,0.31678379464910555,543.0633886074816,27.102728729934128,0.7762641130159474
CO,2,6,0.46457336256309456,0.34972564824114877,835.7264397833854,13.748082542886811,0.7762641130159474
CO,2,7,0.477417294636149,0.3791324720279798,1154.1107420801397,8.053221853733275,0.7762641130159474
CO,2,8,0.43933142368746436,0.47636425199907195,1190.4403885425331,6.474528221792918,0.7762641130159474
CO,2,9,0.40133006953950334,0.45523808407358035,1194.104452350954,5.456061188220197,0.7762641130159474
CO,2,10,0.3423035632534459,0.552624562105532,1167.5355430732354,4.7847719008218546,0.7762641130159474
CO,3,2,0.8630020027085568,0.07524998392868615,61.29791641326377,731.5069761084982,0.83685889683416
CO,3,3,0.8104599279762661,0.08359495390632576,109.96708377136629,269.47910419582985,0.83685889683416
CO,3,4,0.5745171746925722,0.3513341748628113,163.8392399490435,126.6254767648276,0.83685889683416
CO,3,5,0.490037245669868,0.3823007572257082,288.9942014065911,54.213735819866834,0.83685889683416
CO,3,6,0.4640388450253382,0.43696443406321933,319.3879360417617,38.32575359639131,0.83685889683416
CO,3,7,0.4127123606514752,0.48469194525904474,390.98770771383084,25.412981358762778,0.83685889683416
CO,3,8,0.3904682939352041,0.4354599515607984,457.48973327829657,18.06220697424262,0.83685889683416
CO,3,9,0.3454998644991504,0.5093745492154443,485.46138988497285,14.406576694652102,0.83685889683416
CO,3,10,0.3906299027823801,0.4847067126525757,503.1989539795053,11.92799173761811,0.83685889683416
CO,4,2,0.8420847582153683,0.09047218032040921,54.4118073708886,824.0832371249222,0.8753522026182571
CO,4,3,0.7748784434571561,0.10724130292555502,81.98007867753267,361.575534008654,0.8753522026182571
CO,4,4,0.4757516670722948,0.4342547944606751,95.13144801612496,218.19585950384482,0.8753522026182571
CO,4,5,0.3245333005953662,0.6122997732084873,108.59485109293365,144.44699933577078,0.8753522026182571
CO,4,6,0.37041459013658884,0.5303704329426759,132.58680966276336,94.04623339175154,0.8753522026182571
CO,4,7,0.3810812818700206,0.5356849525059494,135.0144533187155,75.17874038706505,0.8753522026182571
CO,4,8,0.3170005802659571,0.6576036787336582,136.98178651343216,61.80092980206903,0.8753522026182571
CO,4,9,0.30098921038051607,0.5349460727121803,135.90185378924812,52.856378629503496,0.8753522026182571
CO,4,10,0.30760692162225794,0.5983179342784826,146.82855013324394,42.152621354702745,0.8753522026182571
CO,5,2,0.8309927822962637,0.09850776841702612,50.12403815885387,894.5837081650095,0.9046697678660789
CO,5,3,0.756193212526983,0.11946982498856555,68.60470284747466,432.072330478229,0.9046697678660789
CO,5,4,0.4375692093897056,0.5088710941779997,72.59673963505443,286.29153258103076,0.9046697678660789
CO,5,5,0.28878975946689156,0.6560014748051685,78.41526165009196,201.42097589453806,0.9046697678660789
CO,5,6,0.28088584972086883,0.6271612586444243,82.82812623099554,151.51987893860297,0.9046697678660789
CO,5,7,0.29092768957121334,0.6499896786697686,84.5311091909597,121.50697178772435,0.9046697678660789
CO,5,8,0.29224670430122607,0.5738300717864293,85.4723391884977,100.5827384238968,0.9046697678660789
CO,5,9,0.28025391459881405,0.6151652315469145,89.44300597640805,81.93255308469013,0.9046697678660789
CO,5,10,0.26448349749384265,0.6096624578790748,85.59556485672259,73.67403081305018,0.9046697678660789
CO,6,2,0.8252900546463235,0.10240141269829317,47.71857859399525,939.6872437192606,0.9234284897340822
CO,6,3,0.7469362351071855,0.1253929737572962,62.18104477488558,476.81075578271236,0.9234284897340822
CO,6,4,0.23198206868683674,0.7312659850652822,60.03616245460977,343.89949923779795,0.9234284897340822
CO,6,5,0.2664618308247004,0.7018424324361989,64.84896359432838,243.884926646602,0.9234284897340822
CO,6,6,0.2480839671138622,0.7487284213610074,64.89824600226557,193.66500560345963,0.9234284897340822
CO,6,7,0.2567396616123586,0.590513476036897,71.49204273612214,145.16840172982532,0.9234284897340822
CO,6,8,0.27839666764910126,0.6036284236115107,77.98164633268189,112.03289307415788,0.9234284897340822
CO,6,9,0.25632283949139606,0.605534230585874,78.14550579898805,95.20376212101297,0.9234284897340822
CO,6,10,0.26244272603219554,0.5410853114264854,80.10557528686148,80.16954976165982,0.9234284897340822
CO,7,2,0.818062992025059,0.10761337420033944,45.77358310028932,979.624235289877,0.9400387238045048
CO,7,3,0.7349019101981152,0.13337320249637857,57.45917100195611,516.1685619859711,0.9400387238045048
CO,7,4,0.41825360779388776,0.6151926201300066,56.49283186968639,368.46467616389486,0.9400387238045048
CO,7,5,0.23736664746946845,0.7703003538842212,55.99413599099252,282.6250369025129,0.9400387238045048
CO,7,6,0.22584613519380314,0.8202267265248735,55.44394755357298,227.3851362044471,0.9400387238045048
CO,7,7,0.23576530118728153,0.6779307268824193,59.330091498961245,175.71816533063233,0.9400387238045048
CO,7,8,0.24726235418972603,0.6485648356130765,58.323558115406065,149.9388580491713,0.9400387238045048
CO,7,9,0.2515101668699204,0.594579985411588,60.720662372555864,123.21230683858349,0.9400387238045048
CO,7,10,0.22965874947907666,0.6741249060915954,61.12416158839512,105.76948258262996,0.9400387238045048
CO,8,2,0.8132737882195963,0.11120300015069892,44.48620924437984,1007.9866852609003,0.9518389139316509
CO,8,3,0.7268499652545709,0.13882979668316145,54.46719916225005,544.5286012642777,0.9518389139316509
CO,8,4,0.40267783642911287,0.6302075383664736,52.70964610680364,395.24467654157536,0.9518389139316509
CO,8,5,0.2263046623793369,0.7943859626968302,51.3077046168467,308.78586218025634,0.9518389139316509
CO,8,6,0.2051748029511523,0.8165469889763587,49.50307477988052,254.79509168426011,0.9518389139316509
CO,8,7,0.21934147637548063,0.7081558500311027,51.212371258170755,203.61821933217942,0.9518389139316509
CO,8,8,0.20967174349034645,0.7372227107824185,52.57723348070501,167.2020425777003,0.9518389139316509
CO,8,9,0.2095788518264045,0.7954246302158257,52.51454156223685,143.0361444468408,0.9518389139316509
CO,8,10,0.20735369717715896,0.6847441373890861,50.12569021728394,129.26924310872454,0.9518389139316509
CO,9,2,0.8096816345573179,0.1139300155375189,43.40191970296014,1033.175076333645,0.9623155256763892
CO,9,3,0.7208102505235654,0.14285661882971015,52.06412834825516,569.6773594084348,0.9623155256763892
CO,9,4,0.3924593937686551,0.6480758905302744,49.68843984326083,419.48775248661946,0.9623155256763892
CO,9,5,0.22784485467630122,0.8015807153750826,49.02751748409381,324.66695958101195,0.9623155256763892
CO,9,6,0.1875939945703843,0.8878141831047301,45.36379480485664,278.2783318734554,0.9623155256763892
CO,9,7,0.20224913586001167,0.7613962855855417,47.33965701139277,221.0913264819398,0.9623155256763892
CO,9,8,0.20519171693244787,0.6765540824144833,47.120392800221346,187.03651226846475,0.9623155256763892
CO,9,9,0.20385301269020473,0.7239686178965747,47.86436664988271,157.70253710311272,0.9623155256763892
CO,9,10,0.19910859244200152,0.7203499352384208,46.147489345245326,141.2708280779525,0.9623155256763892
CO,10,2,0.806415695238201,0.1166052963485311,42.61147407107524,1052.3450020453529,0.97028864674866
CO,10,3,0.7152965365169139,0.14695814542589652,50.36970323272489,588.8440859725971,0.97028864674866
CO,10,4,0.37950679362048445,0.6569118127638114,47.5440204652716,438.4561556540639,0.97028864674866
CO,10,5,0.2155709629257064,0.832120103045756,46.33689906901225,343.56678211861004,0.97028864674866
CO,10,6,0.1768319625636594,0.8971197180536512,42.86825208586679,294.85407359428876,0.97028864674866
CO,10,7,0.19016124452366973,0.7867535290393891,43.6616774437143,239.7722723522714,0.97028864674866
CO,10,8,0.17926529571518604,0.7317931605487673,42.785020550340676,206.00846902593895,0.97028864674866
CO,10,9,0.19676826607712963,0.7982824194382228,44.11196704748451,171.54100513976476,0.97028864674866
CO,10,10,0.20103229320482455,0.7273825863615218,42.29734737431625,154.54840055956495,0.97028864674866
CO,11,2,0.8038734427203397,0.11845799893696,41.957798431150664,1068.739887224363,0.9771056586438152
CO,11,3,0.7110385200349608,0.14974944830812412,49.005332065719934,605.2384497342758,0.9771056586438152
CO,11,4,0.37021158700419904,0.6656906241935883,45.841551226407894,454.76116752093264,0.9771056586438152
CO,11,5,0.20623313480530225,0.856794570653873,44.227039852950455,359.957465045666,0.9771056586438152
CO,11,6,0.17194145554786583,0.9790123841062378,41.044038158329,308.39071010845316,0.9771056586438152
CO,11,7,0.17996584695550596,0.8159793088912473,40.9593184874859,255.6542597208262,0.9771056586438152
CO,11,8,0.16832283398298173,0.7588591513474984,39.944849208691004,220.82033357621316,0.9771056586438152
CO,11,9,0.16751190222204537,0.795449063697835,39.77699738898291,190.0498504484536,0.9771056586438152
CO,11,10,0.17897815345626564,0.8060660084790797,38.24032343573108,170.94476327523398,0.9771056586438152
CO,12,2,0.8018059747754259,0.11997743670121047,41.43794721780545,1082.1476447953855,0.9826806599909956
CO,12,3,0.7075734181066355,0.15205014728834368,47.94347496476797,618.6441179121996,0.9826806599909956
CO,12,4,0.3623521240151839,0.6710091983902609,44.5351422888807,468.11470698737946,0.9826806599909956
CO,12,5,0.20120414901421313,0.8722134155998281,42.6504403051648,373.279596076855,0.9826806599909956
CO,12,6,0.17229179018391566,0.9166932672555962,39.445791289976775,321.00990928255203,0.9826806599909956
CO,12,7,0.1648412785219847,0.8444384296702699,38.63937713572746,270.78147563012305,0.9826806599909956
CO,12,8,0.1644339095973378,0.7761489634885267,37.86668211714213,233.06632540525925,0.9826806599909956
CO,12,9,0.17702235911175337,0.7819486851775075,37.86607010705462,199.9637488905079,0.9826806599909956
CO,12,10,0.14143329303753902,0.8707005757874958,35.10395452833772,186.07100101807572,0.9826806599909956
CO,13,2,0.8000581673124612,0.12128551977189157,41.015774165233765,1093.286354576576,0.9873122498060543
CO,13,3,0.7046489055598352,0.15400520807196935,47.09963673968862,629.7424351599634,0.9873122498060543
CO,13,4,0.35748001571832955,0.6770404327587527,43.520997909594506,479.06946993027714,0.9873122498060543
CO,13,5,0.19687366866161654,0.8867591358192628,41.45261770651291,384.12299625883594,0.9873122498060543
CO,13,6,0.14901898866585278,0.9944099288526899,37.647524105879654,335.75015367592886,0.9873122498060543
CO,13,7,0.17463210874471974,0.8207223897881136,37.38830701012801,280.0873788396664,0.9873122498060543
CO,13,8,0.18230565790599948,0.8532142373078027,35.44930108037903,248.46223506635914,0.9873122498060543
CO,13,9,0.16884371854226565,0.8032808000435276,35.95746062683418,210.6243212491617,0.9873122498060543
CO,13,10,0.1602928388121875,0.8574871655426242,34.79230617637628,188.48963196650632,0.9873122498060543
CO,14,2,0.7988185658835533,0.12223862118864486,40.71160876189516,1101.4545924365675,0.9907086328666469
CO,14,3,0.7025715949452365,0.15542184509452192,46.49811873482971,637.8948425842922,0.9907086328666469
CO,14,4,0.35323395525136697,0.6828744260613276,42.793152889717355,487.2218019311728,0.9907086328666469
CO,14,5,0.19509874007343753,0.8976385578392627,40.65483639358558,391.7644269145512,0.9907086328666469
CO,14,6,0.14653509521171934,1.0339243259967947,37.01723821356831,341.81861301902177,0.9907086328666469
CO,14,7,0.17154064970899385,0.8335874016967936,36.420384155265594,287.6185615653436,0.9907086328666469
CO,14,8,0.17870876054421045,0.8650470888725494,34.443308949385155,255.81697349438775,0.9907086328666469
