PCA,Explained_Variance,Cumulative_Variance
1,0.5395496200775334,0.5395496200775334
2,0.2367144929384141,0.7762641130159474
3,0.06059478381821257,0.83685889683416
4,0.038493305784097,0.8753522026182571
5,0.029317565247821798,0.9046697678660789
6,0.01875872186800331,0.9234284897340822
7,0.016610234070422607,0.9400387238045048
8,0.01180019012714603,0.9518389139316509
9,0.010476611744738388,0.9623155256763892
10,0.007973121072270788,0.97028864674866
11,0.006817011895155184,0.9771056586438152
12,0.005575001347180467,0.9826806599909956
13,0.0046315898150585825,0.9873122498060543
14,0.003396383060592695,0.9907086328666469
15,0.0024636733919207086,0.9931723062585676
16,0.0018465640303869722,0.9950188702889545
17,0.0012684581324477594,0.9962873284214023
18,0.0012110378305445443,0.9974983662519469
19,0.0007343331261058092,0.9982326993780527
20,0.0006542555590930666,0.9988869549371457
21,0.0005020332338967671,0.9993889881710425
22,0.00020864173810281744,0.9995976299091454
23,0.00013878634307837139,0.9997364162522238
24,0.00011370890853113809,0.9998501251607549
25,5.658955748834396e-05,0.9999067147182432
26,4.671344995887671e-05,0.9999534281682021
27,2.1848749049058804e-05,0.9999752769172512
28,1.5423862973579398e-05,0.9999907007802248
29,5.37394660021599e-06,0.999996074726825
30,2.5163398032040287e-06,0.9999985910666281
31,8.771088169874867e-07,0.9999994681754452
32,3.9429954705430945e-07,0.9999998624749922
33,9.390546187885796e-08,0.999999956380454
34,4.261949532927833e-08,0.9999999989999494
35,9.797818562220832e-10,0.9999999999797312
36,2.0268791045058148e-11,1.0
