Cluster,daerah,Jumlah
0,"Asemrowo, Surabaya",1
0,"Bandung, Jogoroto, Jombang",1
0,"Kecamatan Bangkalan,Bangkalan",1
0,"Kota Sumenep, Sumenep",1
0,"Kwanyar, Bangkalan",1
0,"Manyar, Gresik",1
0,Nunukan,1
0,"Sreseh, Sampang",1
0,"Tanah Merah, Bangkalan",1
0,"Warudoyong, Kota Sukabumi",1
1,"Kamal, Banyuajuh",1
2,"Kamal, Bangkalan",1
3,"Banyu Ajuh, Perumnas, Kamal",1
3,"Dukun, Gresik",1
3,"Gresik Kota, Gresik",1
3,"Kamal, Bangkalan",1
3,"Kec. Bangkalan, Kab. Bangkalan",1
3,Kedungpring Lamongan,1
3,"Kwanyar, Bangkalan",1
3,"Labang, Bangkalan",1
3,Menganti Gresik,1
3,"Paciran, Lamongan",1
3,"Socah, Bangkalan",1
3,"Tikala, Manado",1
3,"Waru, Pamekasan",1
3,Wonoayu,1
3,"Wonokromo, Surabaya",1
3,"jabon , Sidoarjo",1
4,Baron Nganjuk,1
4,"Kerek, Tuban",1
4,"Kertosono, Ngajuk",1
4,"Pilangkenceng, Madiun",1
4,"Widang, Tuban",1
4,"Widodaren, Ngawi",1
4,sambeng lamongan,1
5,"Cerme, Gresik",1
5,"Kec. Kalianget, Sumenep",1
