,Cluster_0,Cluster_1,Selisih_Absolut
abs_energy,0.41310285040664113,464757990.7316719,464757990.31856906
spectral_distance,-11368.079997106266,-65688864.588982224,65677496.50898512
average_power,0.0008440629311958167,1273309.5636484162,1273309.5628043532
auc,14.117389517940087,379752.2275,379738.110110482
wavelet_var,6.187844567585278e-05,335647.27938261343,335647.27932073496
spectrogram_mean_coeff,1.4504606753963887e-05,264153.17251401953,264153.17249951494
calc_var,9.558402665255555e-06,189719.15286214428,189719.1528525859
sum_abs_diff,0.6595737390768455,81370.5875,81369.92792626092
distance,489.6388888888889,81378.0,80888.36111111111
calc_max,0.037232109053435415,2132.11125,2132.0740178909464
pk_pk_distance,0.01633244474304905,1810.65125,1810.6349175552568
rms,0.028995395727819315,1126.8675946044395,1126.8385992087117
ecdf_percentile,0.028746918726377007,1043.77,1043.7412530812735
calc_mean,0.02883015625154879,1039.2840915300546,1039.255261373803
calc_median,0.028669898820109094,928.475,928.4463301011799
hist_mode,0.028344074125564216,774.1228125,774.0944684258744
interq_range,0.004114880373131281,569.5725000000001,569.568385119627
wavelet_energy,0.00754458297839052,565.3374523101481,565.3299077271697
wavelet_std,0.007313987489795889,563.600124010277,563.5928100227871
calc_std,0.0030721904125349917,435.5676214575003,435.5645492670878
mean_abs_deviation,0.0024511634012803225,350.0942630415957,350.0918118781944
calc_min,0.020899664310386333,321.46,321.4391003356896
median_abs_deviation,0.002044917085261336,249.0550000000001,249.05295508291482
mean_abs_diff,0.0018211610418340835,222.9331164383561,222.93129527731426
median_abs_diff,0.0011944096119264583,147.70999999999992,147.708805590388
ecdf_slope,114.56018900602619,0.0007312507312507,114.55945775529494
calc_centroid,246.9872852306406,173.11631616214973,73.87096906849087
ecdf_percentile_count,244.93055555555554,182.5,62.43055555555554
wavelet_abs_mean,0.0017341414690063223,39.317105609692845,39.31537146822384
negative_turning,66.27777777777777,101.0,34.72222222222223
positive_turning,66.02777777777777,97.0,30.97222222222223
max_power_spectrum,38.53779531323725,66.10350053556026,27.56570522232301
spectral_positive_turning,78.25,59.0,19.25
mfcc,13.645521982055321,23.10611525654973,9.46059327449441
median_diff,7.591347172527796e-07,-6.119999999999891,6.120000759134608
spectral_decrease,-7.514746392928765,-1.978482208882521,5.536264184046244
maximum_fractal_length,-0.06352202213443574,4.980089719400352,5.043611741534788
neighbourhood_peaks,14.75,11.0,3.75
spectral_kurtosis,4.711343176032013,2.84748520156339,1.8638579744686234
mean_diff,1.6374629804455556e-05,-1.508657534246575,1.5086739088763794
autocorr,4.194444444444445,5.0,0.8055555555555554
skewness,0.21822856965948656,0.8983871435576901,0.6801585738982036
spectral_skewness,1.6832511001256572,1.025652727253915,0.657598372871742
slope,1.9880149640055556e-06,-0.4456678600777969,0.4456698480927609
lpcc,0.9100332621608855,0.7131876348281336,0.1968456273327519
kurtosis,-0.12669705774096185,0.063571131950006,0.19026818969096784
mse,1.2372537849773446,1.4185475117643298,0.1812937267869852
spectral_entropy,0.786230410809604,0.7104867815652905,0.07574362924431344
median_frequency,0.00018922191946714998,0.0683060109289617,0.06811678900949455
higuchi_fractal_dimension,1.8880255621559678,1.8326802803984663,0.05534528175750153
spectral_variation,0.6201516989697679,0.568854468275367,0.05129723069440084
dfa,0.9489312184281309,0.9984849285551758,0.0495537101270449
spectral_centroid,0.07888508246596068,0.1271115819345,0.048226499468539324
spectral_roll_off,0.39830936652893123,0.4453551912568306,0.047045824727899366
max_frequency,0.39830936652893123,0.4453551912568306,0.047045824727899366
wavelet_entropy,2.1255316396937296,2.158465889021179,0.03293424932744937
hurst_exponent,0.7766981343733853,0.8016081924165326,0.024910058043147276
spectral_spread,0.13112397527055533,0.1465303367303832,0.015406361459827878
spectral_slope,-0.04432959210846357,-0.0317112768592054,0.012618315249258175
petrosian_fractal_dimension,1.024880947300693,1.0353014731321413,0.010420525831448257
lempel_ziv,0.1815809503576988,0.174863387978142,0.006717562379556813
entropy,0.9801186562472048,0.982897879230254,0.002779222983049112
fundamental_frequency,0.003137721503221661,0.0054644808743169,0.002326759371095239
power_bandwidth,0.35277179116080437,0.3524590163934426,0.00031277476736174536
ecdf,0.015166890357469357,0.0150273224043715,0.000139567953097856
human_range_energy,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0
zero_cross,0.0,0.0,0.0
