,Cluster_0,Cluster_1,Selisih_Absolut
abs_energy,-0.16666666666666666,6.0,6.166666666666667
average_power,-0.16666666666666669,6.0,6.166666666666667
spectrogram_mean_coeff,-0.16666666666666669,6.0,6.166666666666667
calc_var,-0.16666666666666666,6.0,6.166666666666667
wavelet_var,-0.16666666666666669,6.0,6.166666666666667
calc_max,-0.16666666666492158,5.999999999937179,6.166666666602101
calc_std,-0.1666666666647156,5.999999999929761,6.166666666594477
mean_abs_deviation,-0.16666666666450258,5.9999999999220925,6.166666666586595
rms,-0.16666666666422406,5.999999999912067,6.166666666576291
ecdf_percentile,-0.16666666666390065,5.9999999999004245,6.166666666564325
calc_mean,-0.16666666666380456,5.999999999896964,6.166666666560769
sum_abs_diff,-0.16666666666322916,5.999999999876249,6.166666666539478
calc_median,-0.16666666666272173,5.999999999857982,6.166666666520704
pk_pk_distance,-0.16666666666272073,5.9999999998579465,6.166666666520667
interq_range,-0.16666666666233512,5.999999999844063,6.166666666506399
median_abs_deviation,-0.16666666666083663,5.999999999790118,6.166666666450955
wavelet_std,-0.16666666666079413,5.99999999978859,6.166666666449385
wavelet_energy,-0.16666666666017835,5.999999999766419,6.166666666426597
hist_mode,-0.16666666665657734,5.999999999636784,6.166666666293361
mean_abs_diff,-0.16666666665398827,5.9999999995435775,6.166666666197566
median_abs_diff,-0.16666666663918284,5.999999999010583,6.166666665649766
calc_min,-0.16666666661708118,5.999999998214922,6.166666664832003
mean_diff,0.16666666654812878,-5.999999995732636,6.166666662280765
slope,0.1666666664870133,-5.999999993532479,6.166666660019493
wavelet_abs_mean,-0.1666666664048152,5.999999990573346,6.166666656978161
median_diff,0.16666666561638285,-5.999999962189783,6.1666666278061655
auc,-0.16666665569174152,5.999999604902696,6.166666260594437
spectral_distance,0.1666640440698641,-5.999905586515108,6.166569630584972
distance,-0.16637616171697078,5.989541821810948,6.155917983527919
median_frequency,-0.16584009046410433,5.970243256707757,6.136083347171861
maximum_fractal_length,-0.16417642029216428,5.910351130517915,6.074527550810079
spectral_centroid,-0.12436910646295438,4.47728783266633,4.601656939129285
spectral_decrease,-0.12033649871006541,4.332113953562349,4.452450452272414
skewness,-0.10044951369620435,3.61618249306336,3.7166320067595646
spectral_skewness,0.09254542832439751,-3.3316354196783,3.4241808480026976
ecdf_slope,0.09238089561013701,-3.3257122419649385,3.4180931375750756
lpcc,0.07821152846360499,-2.8156150246897016,2.8938265531533065
spectral_kurtosis,0.07077928300229551,-2.548054188082645,2.6188334710849404
max_frequency,-0.06644699562389185,2.392091842460255,2.458538838084147
spectral_roll_off,-0.06644699562389185,2.392091842460255,2.458538838084147
spectral_spread,-0.061054239624964146,2.197952626498635,2.2590068661235994
negative_turning,-0.0589322035961929,2.121559329462958,2.180491533059151
positive_turning,-0.05311364245110564,1.9120911282397903,1.965204770690896
mfcc,-0.049124316105004256,1.768475379780165,1.8175996958851692
fundamental_frequency,-0.04760983373875946,1.713954014595338,1.7615638483340974
petrosian_fractal_dimension,-0.044333402704658825,1.5960024973684517,1.6403359000731106
spectral_slope,-0.03916025694696054,1.409769250090564,1.4489295070375245
higuchi_fractal_dimension,0.03764947901439883,-1.3553812445185143,1.3930307235329131
wavelet_entropy,-0.03611793915677205,1.3002458096443525,1.3363637488011246
spectral_entropy,0.03262979233913475,-1.174672524208838,1.2073023165479728
neighbourhood_peaks,0.02891983069779121,-1.0411139051204883,1.0700337358182794
mse,-0.026412647142286874,0.9508552971223238,0.9772679442646106
kurtosis,-0.018984999711325216,0.6834599896077076,0.7024449893190328
max_power_spectrum,-0.01747150912547802,0.6289743285172006,0.6464458376426786
hurst_exponent,-0.01655528461646705,0.5959902461927095,0.6125455308091765
spectral_variation,0.0122043461912915,-0.43935646288655833,0.45156080907784985
dfa,-0.010525147659700132,0.3789053157491889,0.38943046340888904
lempel_ziv,0.006774393298594059,-0.2438781587493982,0.25065255204799225
calc_centroid,0.005103090965303001,-0.18371127475090948,0.1888143657162125
autocorr,-0.004596051553139348,0.165457855913019,0.17005390746615837
ecdf_percentile_count,0.004350397863459413,-0.15661432308453987,0.1609647209479993
spectral_positive_turning,0.004134900721514459,-0.1488564259745197,0.15299132669603416
ecdf,0.0011717234451067177,-0.04218204402387916,0.04335376746898587
entropy,-0.0009971293617780676,0.03589665702404083,0.036893786385818896
power_bandwidth,0.00012106522851782548,-0.00435834822660805,0.004479413455125875
human_range_energy,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0
zero_cross,0.0,0.0,0.0
