Polutan,Jumlah_PCA,Cumulative_Variance,K_Terbaik_Silhouette,Silhouette_Tertinggi,Davies_Bouldin,Calinski_Harabasz
CO,1,0.5395496200775334,2,0.9488998864224819,0.016955115122740803,1749.4307622516956
CO,2,0.7762641130159474,2,0.8850776879599994,0.05889324374347023,76.4742268018285
CO,3,0.83685889683416,2,0.8630020027085568,0.07524998392868615,61.29791641326377
CO,4,0.8753522026182571,2,0.8420847582153683,0.09047218032040921,54.4118073708886
CO,5,0.9046697678660789,2,0.8309927822962637,0.09850776841702612,50.12403815885387
CO,6,0.9234284897340822,2,0.8252900546463235,0.10240141269829317,47.71857859399525
CO,7,0.9400387238045048,2,0.818062992025059,0.10761337420033944,45.77358310028932
CO,8,0.9518389139316509,2,0.8132737882195963,0.11120300015069892,44.48620924437984
CO,9,0.9623155256763892,2,0.8096816345573179,0.1139300155375189,43.40191970296014
CO,10,0.97028864674866,2,0.806415695238201,0.1166052963485311,42.61147407107524
CO,11,0.9771056586438152,2,0.8038734427203397,0.11845799893696,41.957798431150664
CO,12,0.9826806599909956,2,0.8018059747754259,0.11997743670121047,41.43794721780545
CO,13,0.9873122498060543,2,0.8000581673124612,0.12128551977189157,41.015774165233765
CO,14,0.9907086328666469,2,0.7988185658835533,0.12223862118864486,40.71160876189516
CO,15,0.9931723062585676,2,0.7979182159677546,0.12289375548557332,40.49377769442066
CO,16,0.9950188702889545,2,0.7972633456188795,0.12337599310893287,40.33203227929115
CO,17,0.9962873284214023,2,0.7968130185948763,0.12370833933992825,40.22167109711041
CO,18,0.9974983662519469,2,0.7964019638232371,0.12400397010666434,40.11686887026252
CO,19,0.9982326993780527,2,0.7961471475737634,0.12419028820179266,40.05358543281252
CO,20,0.9988869549371457,2,0.7959099115177569,0.12436825346703576,39.99737066092332
CO,21,0.9993889881710425,2,0.7957159516200993,0.1245229006101632,39.9543419903836
CO,22,0.9995976299091454,2,0.7956400644913945,0.12457885316695666,39.93648678161913
CO,23,0.9997364162522238,2,0.7955876014219405,0.12461916100499887,39.92461852118535
CO,24,0.9998501251607549,2,0.7955491157600324,0.12464771808583058,39.91489999255848
CO,25,0.9999067147182432,2,0.7955282025734702,0.12466309612326322,39.910065132361794
CO,26,0.9999534281682021,2,0.7955115051036572,0.12467554131575515,39.90607494325036
CO,27,0.9999752769172512,2,0.7955031824805485,0.12468185449144492,39.90420893123385
CO,28,0.9999907007802248,2,0.7954971794536764,0.12468661878102345,39.90289174730066
CO,29,0.999996074726825,2,0.7954953047168198,0.12468803011277342,39.90243283753722
CO,30,0.9999985910666281,2,0.7954943759578508,0.12468875289256134,39.90221795758264
CO,31,0.9999994681754452,2,0.7954940458231791,0.12468900351644081,39.902143058429004
CO,32,0.9999998624749922,2,0.7954938951406814,0.12468909533716456,39.90210938800672
CO,33,0.999999956380454,2,0.7954938602719756,0.12468912161140375,39.90210136914575
CO,34,0.9999999989999494,2,0.7954938435162905,0.12468913433288155,39.90209772974393
CO,35,0.9999999999797312,2,0.795493843142769,0.12468913461700737,39.90209764607754
CO,36,1.0,2,0.7954938431353851,0.12468913462228236,39.90209764434673
