Fitur,Nilai_Dewi,Mean_36_Data_Lain,Std_36_Data_Lain,ZScore_Dewi,Selisih_Absolut,Abs_ZScore
abs_energy,475912.66180625,5.240314581805556e-07,4.599906341555316e-07,1034613808342.9125,475912.66180572595,1034613808342.9125
average_power,1303.870306318493,1.4905354722222224e-09,1.339812181733788e-09,973173944895.5638,1303.8703063170026,973173944895.5638
calc_var,169.17011424693555,1.8532180277777777e-10,1.8782334154148986e-10,900687384530.324,169.17011424675025,900687384530.324
wavelet_var,231.2548256240109,4.0187214722222224e-10,3.7945535963879557e-10,609438817371.6693,231.254825623609,609438817371.6693
spectrogram_mean_coeff,162.39438484622957,2.64140125e-10,2.6717537707792224e-10,607819427905.5991,162.39438484596542,607819427905.5991
median_abs_deviation,9.590000000000002,8.27615950816389e-06,3.6647598923019747e-06,2616813.1079978216,9.589991723840493,2616813.1079978216
interq_range,19.1675,1.675991434808333e-05,7.523480697195758e-06,2547688.2325530504,19.16748324008565,2547688.2325530504
spectral_distance,-1988472.5112654923,-1.8225195180526232,0.8104694845278158,-2453480.0220201616,1988470.6887459743,2453480.0220201616
auc,12292.05,0.011726446000773792,0.005089320222415306,2415261.3190687387,12292.038273553999,2415261.3190687387
mean_abs_deviation,10.777273059810684,9.959358202438889e-06,4.542399476523434e-06,2372592.5375240124,10.777263100452481,2372592.5375240124
slope,-0.0535898521708108,8.341925655555555e-09,2.2797072976610607e-08,-2350734.2617062596,0.05358986051273646,2350734.2617062596
rms,36.05978118545313,3.539537279489168e-05,1.5494646941253658e-05,2327238.944313937,36.059745790080335,2327238.944313937
ecdf_percentile,33.230000000000004,3.2949945462777776e-05,1.4315572837365637e-05,2321246.0603266745,33.22996705005454,2321246.0603266745
calc_mean,33.63239071038252,3.308631215054722e-05,1.456412175540128e-05,2309260.9488517498,33.63235762407037,2309260.9488517498
calc_median,31.53,3.236437366968889e-05,1.3662128654955835e-05,2307837.1190853245,31.52996763562633,2307837.1190853245
calc_std,13.00654120998106,1.2393643345141667e-05,5.711893110242819e-06,2277095.975940767,13.006528816337715,2277095.975940767
calc_max,71.11125,6.686581420304443e-05,3.2496738022345394e-05,2188256.0361993364,71.1111831341858,2188256.0361993364
pk_pk_distance,61.95125,6.36815443793639e-05,2.9898888134969916e-05,2072023.0812194366,61.95118631845562,2072023.0812194366
hist_mode,24.6478125,2.9932845839522227e-05,1.2583347682257247e-05,1958761.94392276,24.64778256715416,1958761.94392276
wavelet_std,14.690342762894868,1.7725073444205555e-05,7.732660418708952e-06,1899776.304967253,14.690325037821424,1899776.304967253
wavelet_energy,14.75838430427726,1.7859976498341666e-05,7.800144374501449e-06,1892063.2408479045,14.758366444300762,1892063.2408479045
sum_abs_diff,2205.3975,0.0022765727877426863,0.0012017181219179502,1835201.7692030696,2205.3952234272124,1835201.7692030696
median_abs_diff,4.690000000000001,3.992167415016667e-06,2.8936784696522264e-06,1620773.0254136522,4.689996007832586,1620773.0254136522
mean_abs_diff,6.042184931506849,6.543958323341667e-06,3.7818179948976713e-06,1597691.47952135,6.0421783875485255,1597691.47952135
calc_min,9.16,3.1842698236444443e-06,6.0505553951640654e-06,1513910.0822135017,9.159996815730176,1513910.0822135017
wavelet_abs_mean,1.2437013371982746,1.8661211355055553e-06,1.1046183402673272e-06,1125908.7648102539,1.2436994710771392,1125908.7648102539
mean_diff,-0.0288493150684931,1.3265677758333334e-08,3.68559660311856e-08,-782758.7074982666,0.028849328334170858,782758.7074982666
distance,2273.0,354.97222222222223,35.72073116441816,53.695087285568995,1918.0277777777778,53.695087285568995
maximum_fractal_length,3.386006557693501,-2.5909638264762584,0.19523048927940695,30.614943425233808,5.976970384169759,30.614943425233808
autocorr,28.0,6.527777777777778,5.659308948783216,3.7941420792796396,21.47222222222222,3.7941420792796396
