Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
NO2,1,2,0.45815083883379504,0.9620383478644012,0.007345980259698499,8857.14977171932,1,36,0.027777777777777776,1-36
NO2,1,3,0.45815083883379504,0.6118100000765747,0.3701067258504618,10813.353196733837,1,30,0.03333333333333333,1-6-30
NO2,1,4,0.45815083883379504,0.5624465223972014,0.34019033124918574,15711.649434287754,1,25,0.04,1-4-7-25
NO2,1,5,0.45815083883379504,0.5625689120602528,0.38685141686929214,22557.258204773094,1,17,0.058823529411764705,1-3-6-10-17
NO2,1,6,0.45815083883379504,0.5687226647202546,0.3613909814898548,28204.236026672872,1,15,0.06666666666666667,1-3-3-6-9-15
NO2,1,7,0.45815083883379504,0.5719372365715005,0.3079051662929225,38328.40696190034,1,15,0.06666666666666667,1-1-3-3-5-9-15
NO2,1,8,0.45815083883379504,0.5972670584640976,0.29102624863347265,52462.7274228746,1,9,0.1111111111111111,1-1-3-3-5-7-8-9
NO2,1,9,0.45815083883379504,0.5579424600669893,0.2906303511822119,62551.04784772297,1,9,0.1111111111111111,1-1-1-2-3-5-7-8-9
NO2,1,10,0.45815083883379504,0.561440519155322,0.25843557244965654,73840.56472524116,1,9,0.1111111111111111,1-1-1-1-2-2-5-7-8-9
NO2,2,2,0.6857934320813603,0.8501377451643233,0.08749428091999435,69.74711071812514,1,36,0.027777777777777776,1-36
NO2,2,3,0.6857934320813603,0.5336537065933369,0.4298999402158976,99.50185368550412,1,21,0.047619047619047616,1-15-21
NO2,2,4,0.6857934320813603,0.5538351400831905,0.327387678412709,144.45665366924678,1,20,0.05,1-1-15-20
NO2,2,5,0.6857934320813603,0.5569227038632423,0.3105822109949057,264.3381672962816,1,18,0.05555555555555555,1-1-5-12-18
NO2,2,6,0.6857934320813603,0.4674072244306471,0.42177541884272207,325.5052221447891,1,12,0.08333333333333333,1-1-5-8-10-12
NO2,2,7,0.6857934320813603,0.4564425682268535,0.40510278410739,380.19372501289916,1,11,0.09090909090909091,1-1-2-4-9-9-11
NO2,2,8,0.6857934320813603,0.494308404185178,0.3634262684655177,517.0931257504493,1,11,0.09090909090909091,1-1-2-3-4-6-9-11
NO2,2,9,0.6857934320813603,0.4915756412998945,0.3971244204743383,639.0019457149284,1,11,0.09090909090909091,1-1-2-3-4-4-5-6-11
NO2,2,10,0.6857934320813603,0.46295296401074953,0.44195090349455396,738.0255988000439,1,7,0.14285714285714285,1-1-2-3-3-3-5-5-7-7
NO2,3,2,0.7668278204637226,0.8258221806986998,0.10339354811584218,51.53583577779682,1,36,0.027777777777777776,1-36
NO2,3,3,0.7668278204637226,0.4342330102707986,0.6249068249358533,55.1859421721388,1,21,0.047619047619047616,1-15-21
