PCA,Explained_Variance,Cumulative_Variance
1,0.45815083883379504,0.45815083883379504
2,0.22764259324756525,0.6857934320813603
3,0.08103438838236217,0.7668278204637226
4,0.05700970649969942,0.8238375269634219
5,0.03904854515629398,0.8628860721197159
6,0.03029423023785253,0.8931803023575684
7,0.01931788211572832,0.9124981844732967
8,0.0166880762385016,0.9291862607117982
9,0.014856471838404422,0.9440427325502027
10,0.012536463278098755,0.9565791958283014
11,0.010155660010129469,0.9667348558384309
12,0.006477567528879872,0.9732124233673107
13,0.005523260420091882,0.9787356837874026
14,0.0041976198331198375,0.9829333036205224
15,0.0037225930009291007,0.9866558966214516
16,0.002549478372503181,0.9892053749939548
17,0.002315308427750668,0.9915206834217054
18,0.0019861435972043104,0.9935068270189097
19,0.0015444631359408064,0.9950512901548505
20,0.0012871569876773182,0.9963384471425278
21,0.0011227422523626004,0.9974611893948905
22,0.0008694840065546183,0.9983306734014451
23,0.0005155460091255345,0.9988462194105706
24,0.0003561119880542953,0.9992023313986249
25,0.0002117650662997516,0.9994140964649246
26,0.000165976773309543,0.9995800732382342
27,0.00013444699981050124,0.9997145202380446
28,9.252547091137866e-05,0.9998070457089561
29,7.952693969628722e-05,0.9998865726486523
30,5.81534815663094e-05,0.9999447261302187
31,2.393095938721175e-05,0.9999686570896059
32,1.7164485530911924e-05,0.9999858215751368
33,9.40734134494001e-06,0.9999952289164817
34,3.85499109162854e-06,0.9999990839075734
35,8.48362195315801e-07,0.9999999322697687
36,6.773023115836135e-08,0.9999999999999999
