Cluster,daerah,Jumlah
0,"Warudoyong, Kota Sukabumi",1
1,"Bangkalan Kota,Bangkalan",1
1,"Gresik Kota, Gresik",1
1,"Kamal, Bangkalan",1
1,"Kertosono, Ngajuk",1
1,Nunukan,1
1,"Paciran, Lamongan",1
1,"Pilangkenceng, Madiun",1
1,"Waru, Pamekasan",1
1,"Widang, Tuban",1
1,"Widodaren, Ngawi",1
1,Wonoayu,1
1,"jabon , Sidoarjo",1
1,sambeng lamongan,1
2,"Kamal, Banyuajuh",1
3,"Cerme, Gresik",1
3,"Kec. Kalianget, Sumenep",1
4,"Kota Sumenep, Sumenep",1
4,"Labang, Bangkalan",1
4,"Sreseh, Sampang",1
4,"Tikala, Manado",1
5,"Asemrowo, Surabaya",1
5,"Bandung, Jogoroto, Jombang",1
5,"Banyu Ajuh, Perumnas, Kamal",1
5,Baron Nganjuk,1
5,"Dukun, Gresik",1
5,"Kamal, Bangkalan",1
5,"Kec. Bangkalan, Kab. Bangkalan",1
5,Kedungpring Lamongan,1
5,"Kerek, Tuban",1
5,"Kwanyar, Bangkalan",2
5,Manyar,1
5,Menganti Gresik,1
5,"Socah, Bangkalan",1
5,"Tanah Merah, Bangkalan",1
5,"Wonokromo, Surabaya",1
