,Cluster_0,Cluster_1,Selisih_Absolut
spectral_distance,-1.8225195180526228,-1988472.5112654923,1988470.6887459743
abs_energy,5.240314581805556e-07,475912.66180625,475912.66180572595
ecdf_slope,35513.04191118555,0.0230840258541089,35513.0188271597
auc,0.011726446000773792,12292.05,12292.038273553999
sum_abs_diff,0.0022765727877426863,2205.3975,2205.3952234272124
distance,354.97222222222223,2273.0,1918.0277777777778
average_power,1.4905354722222224e-09,1303.870306318493,1303.8703063170026
wavelet_var,4.0187214722222224e-10,231.2548256240109,231.254825623609
calc_var,1.8532180277777777e-10,169.17011424693555,169.17011424675025
spectrogram_mean_coeff,2.64140125e-10,162.39438484622957,162.39438484596542
calc_max,6.686581420304444e-05,71.11125,71.1111831341858
pk_pk_distance,6.36815443793639e-05,61.95125,61.95118631845562
rms,3.5395372794891666e-05,36.05978118545313,36.059745790080335
calc_mean,3.3086312150547226e-05,33.63239071038252,33.63235762407037
ecdf_percentile,3.2949945462777776e-05,33.230000000000004,33.22996705005454
negative_turning,61.111111111111114,94.0,32.888888888888886
calc_median,3.236437366968889e-05,31.53,31.52996763562633
calc_centroid,181.77567935638646,150.37106811667283,31.40461123971363
positive_turning,61.388888888888886,92.0,30.611111111111114
hist_mode,2.993284583952222e-05,24.6478125,24.64778256715416
autocorr,6.527777777777778,28.0,21.47222222222222
max_power_spectrum,58.38255789998636,39.18128913747442,19.201268762511937
interq_range,1.675991434808333e-05,19.1675,19.16748324008565
wavelet_energy,1.7859976498341666e-05,14.75838430427726,14.758366444300762
wavelet_std,1.7725073444205555e-05,14.690342762894868,14.690325037821424
calc_std,1.2393643345141667e-05,13.00654120998106,13.006528816337715
mean_abs_deviation,9.959358202438889e-06,10.777273059810684,10.777263100452481
median_abs_deviation,8.276159508163888e-06,9.590000000000002,9.589991723840493
calc_min,3.1842698236444448e-06,9.16,9.159996815730176
mean_abs_diff,6.543958323341667e-06,6.042184931506849,6.0421783875485255
maximum_fractal_length,-2.5909638264762584,3.386006557693501,5.976970384169759
ecdf_percentile_count,177.52777777777777,182.5,4.9722222222222285
median_abs_diff,3.992167415016666e-06,4.690000000000001,4.689996007832586
spectral_positive_turning,56.111111111111114,60.0,3.8888888888888857
mfcc,23.1115738620091,19.28021112671413,3.83136273529497
zero_cross,2.8333333333333335,0.0,2.8333333333333335
neighbourhood_peaks,14.63888888888889,16.0,1.3611111111111107
wavelet_abs_mean,1.8661211355055558e-06,1.2437013371982746,1.2436994710771392
skewness,0.16193009453744944,0.5505088386901775,0.3885787441527281
spectral_kurtosis,2.729948595489533,3.0198504631067427,0.2899018676172096
spectral_decrease,-2.197118480511419,-2.430742708588213,0.23362422807679417
spectral_entropy,0.7392976430336682,0.5778449235788642,0.161452719454804
spectral_skewness,0.9816784036646445,1.1141281310145028,0.13244972734985827
mse,1.0461656917872704,1.1736697198718469,0.1275040280845765
spectral_variation,0.4371668915091802,0.3632404219953189,0.07392646951386128
lpcc,0.7037813860971303,0.7734920247126139,0.06971063861548366
power_bandwidth,0.3205587350921748,0.3825136612021858,0.061954926110010966
slope,8.341925655555555e-09,-0.0535898521708108,0.05358986051273646
kurtosis,-0.22015594870309002,-0.2705084429895028,0.05035249428641275
hurst_exponent,0.8111955782306723,0.7810042928831374,0.030191285347534902
mean_diff,1.3265677758333334e-08,-0.0288493150684931,0.028849328334170858
median_frequency,0.06674627973133573,0.0437158469945355,0.023030432736800235
lempel_ziv,0.1769593706794482,0.1612021857923497,0.015757184887098485
higuchi_fractal_dimension,1.8511074207728058,1.8378437737678808,0.013263647004924994
wavelet_entropy,2.141283579565125,2.15438514868268,0.013101569117555112
spectral_centroid,0.12880368416138321,0.1161279195855266,0.012675764575856618
petrosian_fractal_dimension,1.0230312922575988,1.0326928842411969,0.009661591983598061
spectral_roll_off,0.4352252769312457,0.4289617486338797,0.006263528297365983
max_frequency,0.4352252769312457,0.4289617486338797,0.006263528297365983
dfa,0.9659842712740616,0.9611535042951472,0.00483076697891438
spectral_spread,0.1478899021332145,0.144514003622122,0.0033758985110925177
spectral_slope,-0.032409201081745824,-0.0345456038296337,0.002136402747887879
fundamental_frequency,0.0034303504191495666,0.0054644808743169,0.0020341304551673334
entropy,0.9926229952021216,0.9910162718633524,0.0016067233387692115
ecdf,0.015700398868514598,0.0150273224043715,0.0006730764641430971
median_diff,-4.7757878361111113e-08,0.0,4.7757878361111113e-08
human_range_energy,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0
