,Cluster_0,Cluster_1,Selisih_Absolut
abs_energy,-0.16666666666666666,6.0,6.166666666666667
average_power,-0.16666666666666663,6.0,6.166666666666667
wavelet_var,-0.16666666666666669,6.0,6.166666666666667
calc_var,-0.16666666666666669,6.0,6.166666666666667
spectrogram_mean_coeff,-0.16666666666666663,5.999999999999999,6.166666666666666
median_abs_deviation,-0.16666666666622892,5.999999999984241,6.16666666665047
interq_range,-0.16666666666620486,5.999999999983374,6.166666666649579
spectral_distance,0.1666666666661687,-5.999999999982072,6.166666666648241
auc,-0.16666666666615282,5.999999999981501,6.166666666647654
mean_abs_deviation,-0.16666666666613417,5.99999999998083,6.166666666646964
slope,0.16666666666612417,-5.999999999980471,6.166666666646595
rms,-0.16666666666611316,5.999999999980075,6.166666666646187
ecdf_percentile,-0.16666666666611038,5.9999999999799725,6.1666666666460825
calc_mean,-0.16666666666610455,5.999999999979764,6.1666666666458685
calc_median,-0.16666666666610386,5.999999999979738,6.166666666645842
calc_std,-0.16666666666608854,5.999999999979188,6.166666666645277
calc_max,-0.16666666666604063,5.999999999977463,6.166666666643504
pk_pk_distance,-0.1666666666659684,5.999999999974864,6.1666666666408325
hist_mode,-0.16666666666588534,5.999999999971873,6.1666666666377585
wavelet_std,-0.16666666666583607,5.999999999970099,6.166666666635935
wavelet_energy,-0.1666666666658293,5.999999999969854,6.166666666635684
sum_abs_diff,-0.1666666666657766,5.999999999967957,6.166666666633734
median_abs_diff,-0.16666666666552554,5.999999999958918,6.166666666624444
mean_abs_diff,-0.16666666666549232,5.999999999957724,6.1666666666232155
calc_min,-0.16666666666535876,5.999999999952915,6.166666666618274
wavelet_abs_mean,-0.16666666666430197,5.99999999991487,6.166666666579172
mean_diff,0.16666666666177415,-5.99999999982387,6.166666666485644
distance,-0.16563657454433933,5.962916683596213,6.128553258140553
maximum_fractal_length,-0.1635575806193005,5.888072902294816,6.051630482914116
autocorr,-0.0891017272601687,3.2076621813660737,3.2967639086262426
negative_turning,-0.060247985067120285,2.1689274624163297,2.22917544748345
positive_turning,-0.0564755656108766,2.0331203619915543,2.089595927602431
ecdf_slope,0.051057616732685496,-1.838074202376687,1.8891318191093724
spectral_entropy,0.04961430435250834,-1.786114956690376,1.8357292610428844
petrosian_fractal_dimension,-0.039832327919450405,1.433963805100045,1.4737961330194953
fundamental_frequency,-0.03943584784223633,1.419690522320501,1.4591263701627373
skewness,-0.038325017196425476,1.3797006190713113,1.4180256362677368
calc_centroid,0.037291595312855766,-1.3424974312628597,1.3797890265757156
lpcc,-0.03590744230550199,1.2926679229980924,1.3285753653035943
median_frequency,0.03101068541449706,-1.1163846749219013,1.1473953603363984
spectral_centroid,0.023691447604983863,-0.8528921137794365,0.8765835613844204
lempel_ziv,0.022463801240795476,-0.8086968446686378,0.8311606459094333
power_bandwidth,-0.01970613702902389,0.709420933044903,0.7291270700739269
spectral_skewness,-0.019028921721310512,0.6850411819671869,0.7040701036884974
mse,-0.01763490910266162,0.6348567276958171,0.6524916367984788
neighbourhood_peaks,-0.016673473555521585,0.600245047998781,0.6169185215543026
spectral_decrease,0.01660884868603592,-0.5979185526972839,0.6145274013833198
spectral_kurtosis,-0.016460432378334264,0.5925755656200367,0.6090359979983709
max_power_spectrum,0.016193426033304467,-0.5829633371989573,0.5991567632322617
spectral_positive_turning,-0.01574745805363778,0.5669084899309526,0.5826559479845903
wavelet_entropy,-0.014506320354532785,0.5222275327626891,0.5367338531172219
hurst_exponent,0.01399510633319067,-0.5038238279948594,0.51781893432805
spectral_slope,0.01325099414682352,-0.4770357892856429,0.4902867834324664
spectral_variation,0.013001086190467205,-0.4680391028568302,0.4810401890472974
spectral_spread,0.01267499878781533,-0.45629995636124193,0.46897495514905724
zero_cross,0.012617665908365435,-0.4542359727011545,0.46685363860951995
mfcc,0.01254012078355417,-0.4514443482079526,0.46398446899150675
max_frequency,0.011624932688364932,-0.4184975767810496,0.43012250946941455
spectral_roll_off,0.011624932688364932,-0.4184975767810496,0.43012250946941455
ecdf_percentile_count,-0.0077229278284313045,0.27802540182352875,0.28574832965196006
ecdf,0.00726007119980668,-0.26136256319307805,0.26862263439288475
higuchi_fractal_dimension,0.00477125466936095,-0.17176516809718972,0.17653642276655068
median_diff,-0.004513380630996743,0.1624817027158832,0.16699508334687993
kurtosis,0.004097231689889184,-0.14750034083601027,0.15159757252589945
entropy,0.0018986831693408313,-0.06835259409665766,0.07025127726599849
dfa,0.0010600978159818906,-0.03816352137538312,0.03922361919136501
human_range_energy,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0
