Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
SO2,1,2,0.5304833670367862,0.9252964799764819,0.030962589086771797,366.0022288716144,1,36,0.027777777777777776,1-36
SO2,1,3,0.5304833670367862,0.7146211433087764,0.4003647040840068,521.7303304744872,1,32,0.03125,1-4-32
SO2,1,4,0.5304833670367862,0.5984590430024319,0.3210295359439674,707.6596824737622,1,30,0.03333333333333333,1-1-5-30
SO2,1,5,0.5304833670367862,0.5029089757913182,0.353255223565922,1173.5054906851988,1,17,0.058823529411764705,1-1-3-15-17
SO2,1,6,0.5304833670367862,0.5412061164255426,0.34141137042401165,1612.4065525289725,1,15,0.06666666666666667,1-1-3-3-14-15
SO2,1,7,0.5304833670367862,0.5274571087561557,0.3428634037016071,1917.1220702768212,1,14,0.07142857142857142,1-1-3-3-6-9-14
SO2,1,8,0.5304833670367862,0.5256583396517593,0.3000531293413792,2917.304653924058,1,14,0.07142857142857142,1-1-1-2-3-6-9-14
SO2,1,9,0.5304833670367862,0.5820001552759347,0.29506800379585224,4065.060609841552,1,8,0.125,1-1-1-2-3-6-7-8-8
SO2,1,10,0.5304833670367862,0.618073074161868,0.2531043659897082,5309.6119172926465,1,8,0.125,1-1-1-2-2-3-4-7-8-8
SO2,2,2,0.7745510557725308,0.8767020214465241,0.06540106348437585,65.22140156934772,1,36,0.027777777777777776,1-36
SO2,2,3,0.7745510557725308,0.837207915039857,0.06363826005415074,166.38633882783208,1,35,0.02857142857142857,1-1-35
SO2,2,4,0.7745510557725308,0.655890313074883,0.2080158420511029,260.5502015818061,1,32,0.03125,1-1-3-32
SO2,2,5,0.7745510557725308,0.4758175089511739,0.3590211638032882,460.749500427981,1,20,0.05,1-1-3-12-20
SO2,2,6,0.7745510557725308,0.4717442832732337,0.3864599104700408,680.2734741736133,1,14,0.07142857142857142,1-1-3-5-13-14
