PCA,Explained_Variance,Cumulative_Variance
1,0.5304833670367862,0.5304833670367862
2,0.24406768873574458,0.7745510557725308
3,0.06210621254789551,0.8366572683204263
4,0.05059941095829047,0.8872566792787168
5,0.02675241099800571,0.9140090902767225
6,0.01670729932121987,0.9307163895979423
7,0.015358890234534073,0.9460752798324764
8,0.01325374371500305,0.9593290235474795
9,0.011663665149370117,0.9709926886968496
10,0.005752759201544352,0.976745447898394
11,0.005366379898242018,0.9821118277966361
12,0.003862331314244182,0.9859741591108803
13,0.002847566259872219,0.9888217253707525
14,0.0024996201511284844,0.991321345521881
15,0.0019407753801308945,0.9932621209020119
16,0.0018323727536293866,0.9950944936556413
17,0.0013494822090498527,0.9964439758646911
18,0.0009592655401741687,0.9974032414048652
19,0.0006748090943680634,0.9980780504992333
20,0.000464551625762585,0.9985426021249958
21,0.00040657851705030236,0.9989491806420461
22,0.0003262061490796418,0.9992753867911257
23,0.00020619936027247972,0.9994815861513981
24,0.00013812048249545018,0.9996197066338935
25,0.0001277856851119663,0.9997474923190055
26,0.00010311229230232819,0.9998506046113078
27,5.279005160276699e-05,0.9999033946629106
28,3.5052718143492436e-05,0.9999384473810541
29,2.3847054687633522e-05,0.9999622944357417
30,1.5305779621481356e-05,0.9999776002153632
31,1.126764936571289e-05,0.999988867864729
32,7.213971537510858e-06,0.9999960818362664
33,2.5160946346991352e-06,0.9999985979309012
34,1.0167295065117536e-06,0.9999996146604077
35,2.834413717970757e-07,0.9999998981017795
36,1.018982207374971e-07,1.0000000000000002
