Fitur,Cluster_0_Mean,Cluster_1_Mean,Selisih_C1_C0,Abs_Selisih,Mean_Global
abs_energy,-0.16666666666666663,6.0,6.166666666666667,6.166666666666667,0.0
average_power,-0.16666666666666666,6.0,6.166666666666667,6.166666666666667,-2.400482215405744e-17
spectrogram_mean_coeff,-0.16666666666666666,6.0,6.166666666666667,6.166666666666667,0.0
calc_var,-0.16666666666666663,6.0,6.166666666666667,6.166666666666667,0.0
wavelet_var,-0.16666666666666663,5.999999999999999,6.166666666666666,6.166666666666666,2.400482215405744e-17
hist_mode,-0.16666666665261054,5.999999999493979,6.16666666614659,6.16666666614659,-2.400482215405744e-17
calc_median,-0.16666666665255064,5.999999999491823,6.166666666144374,6.166666666144374,0.0
calc_mean,-0.16666666664974383,5.999999999390779,6.1666666660405225,6.1666666660405225,2.400482215405744e-17
ecdf_percentile,-0.16666666664701177,5.999999999292425,6.166666665939436,6.166666665939436,0.0
rms,-0.16666666663539775,5.99999999887432,6.166666665509718,6.166666665509718,0.0
wavelet_abs_mean,-0.16666666662062551,5.999999998342519,6.166666664963144,6.166666664963144,2.400482215405744e-17
slope,-0.16666666660652402,5.999999997834864,6.166666664441388,6.166666664441388,0.0
calc_max,-0.16666666659535756,5.999999997432871,6.166666664028229,6.166666664028229,-4.800964430811488e-17
interq_range,-0.1666666665163174,5.999999994587427,6.166666661103744,6.166666661103744,2.400482215405744e-17
mean_abs_deviation,-0.16666666649103656,5.999999993677315,6.166666660168352,6.166666660168352,-2.400482215405744e-17
median_abs_deviation,-0.16666666648955025,5.999999993623809,6.166666660113359,6.166666660113359,0.0
calc_std,-0.166666666489333,5.9999999936159885,6.166666660105322,6.166666660105322,0.0
wavelet_energy,-0.16666666644010825,5.999999991843896,6.166666658284004,6.166666658284004,-2.400482215405744e-17
wavelet_std,-0.16666666643862266,5.999999991790415,6.166666658229038,6.166666658229038,-2.400482215405744e-17
pk_pk_distance,-0.1666666664088479,5.999999990718523,6.166666657127371,6.166666657127371,0.0
median_abs_diff,-0.16666666629164198,5.999999986499112,6.166666652790753,6.166666652790753,0.0
sum_abs_diff,-0.1666666660855841,5.999999979081027,6.166666645166611,6.166666645166611,0.0
mean_abs_diff,-0.16666666599704139,5.99999997589349,6.166666641890532,6.166666641890532,0.0
auc,-0.16666666546518555,5.999999956746679,6.1666666222118645,6.1666666222118645,0.0
mean_diff,-0.16666665598342706,5.9999996154033735,6.1666662713868,6.1666662713868,-2.400482215405744e-17
calc_min,-0.16666665429701824,5.999999554692656,6.166666208989675,6.166666208989675,-2.400482215405744e-17
spectral_distance,0.16665847651308438,-5.999705154471037,-6.166363630984121,6.166363630984121,-2.400482215405744e-17
maximum_fractal_length,-0.15782371998064312,5.681653919303143,5.8394776392837855,5.8394776392837855,-2.400482215405744e-16
spectral_decrease,0.12389845298096724,-4.46034430731482,-4.584242760295787,4.584242760295787,4.800964430811488e-17
autocorr,-0.11560354606971905,4.161727658509887,4.277331204579606,4.277331204579606,0.0
spectral_slope,0.10616994918355815,-3.82211817060809,-3.928288119791648,3.928288119791648,9.601928861622976e-17
spectral_entropy,0.10425302919104924,-3.753109050877768,-3.857362080068817,3.857362080068817,1.3202652184731592e-16
lpcc,-0.10311872287736071,3.7122740235849996,3.8153927464623605,3.8153927464623605,3.720747433878903e-16
spectral_kurtosis,-0.09523213144536995,3.4283567320333423,3.5235888634787123,3.5235888634787123,6.361277870825221e-16
max_frequency,0.09170753298110967,-3.301471187319927,-3.3931787203010364,3.3931787203010364,5.761157316973786e-16
spectral_roll_off,0.09170753298110967,-3.301471187319927,-3.3931787203010364,3.3931787203010364,5.761157316973786e-16
