Cluster,daerah,Jumlah
0,"Kamal, Bangkalan",2
0,"Kwanyar, Bangkalan",2
0,"Asemrowo, Surabaya",1
0,"Bandung, Jogoroto, Jombang",1
0,"Banyu Ajuh, Perumnas, Kamal",1
0,Baron Nganjuk,1
0,"Cerme, Gresik",1
0,"Dukun, Gresik",1
0,"Gresik Kota, Gresik",1
0,"Kec. Bangkalan, Kab. Bangkalan",1
0,"Kec. Kalianget, Sumenep",1
0,"Kecamatan Bangkalan,Bangkalan",1
0,Kedungpring Lamongan,1
0,"Kerek, Tuban",1
0,"Kertosono, Ngajuk",1
0,"Kota Sumenep, Sumenep",1
0,"Labang, Bangkalan",1
0,"Manyar, Gresik",1
0,Menganti Gresik,1
0,Nunukan,1
0,"Paciran, Lamongan",1
0,"Pilangkenceng, Madiun",1
0,"Socah, Bangkalan",1
0,"Sreseh, Sampang",1
0,"Tanah Merah, Bangkalan",1
0,"Tikala, Manado",1
0,"Waru, Pamekasan",1
0,"Warudoyong, Kota Sukabumi",1
0,"Widang, Tuban",1
0,"Widodaren, Ngawi",1
0,Wonoayu,1
0,"Wonokromo, Surabaya",1
0,"jabon , Sidoarjo",1
0,sambeng lamongan,1
1,"Kamal, Banyuajuh",1
