Cluster,daerah,Jumlah
0,"Kec. Bangkalan, Kab. Bangkalan",1
0,"Tanah Merah, Bangkalan",1
0,"Warudoyong, Kota Sukabumi",1
1,"Asemrowo, Surabaya",1
1,"Bandung, Jogoroto, Jombang",1
1,Baron Nganjuk,1
1,"Dukun, Gresik",1
1,Kedungpring Lamongan,1
1,"Kerek, Tuban",1
1,"Kota Sumenep, Sumenep",1
1,"Kwanyar, Bangkalan",1
1,"Labang, Bangkalan",1
1,Menganti Gresik,1
1,"Tikala, Manado",1
1,"Waru, Pamekasan",1
1,"Widang, Tuban",1
1,"Wonokromo, Surabaya",1
2,"Kamal, Banyuajuh",1
3,"Kamal, Bangkalan",1
4,"Banyu Ajuh, Perumnas, Kamal",1
4,"Cerme, Gresik",1
4,"Gresik Kota, Gresik",1
4,"Kamal, Bangkalan",1
4,"Kec. Kalianget, Sumenep",1
4,"Kecamatan Bangkalan,Bangkalan",1
4,"Kertosono, Ngajuk",1
4,"Kwanyar, Bangkalan",1
4,"Manyar, Gresik",1
4,Nunukan,1
4,"Paciran, Lamongan",1
4,"Pilangkenceng, Madiun",1
4,"Socah, Bangkalan",1
4,"Sreseh, Sampang",1
4,"Widodaren, Ngawi",1
4,"jabon , Sidoarjo",1
4,sambeng lamongan,1
5,Wonoayu,1
