,Cluster_0,Cluster_1,Selisih_Absolut
spectral_distance,-343.7666849022586,-1216298.973778294,1215955.2070933916
abs_energy,1.647355573359167e-05,134627.4173765625,134627.41736008893
auc,0.06075574954876877,6419.47875,6419.417994250452
ecdf_slope,4357.367401846984,0.0558035714285714,4357.311598275555
sum_abs_diff,0.037019972988816714,1114.0925,1114.055480027011
distance,492.6388888888889,1220.0,727.3611111111111
average_power,2.916683304722222e-08,368.8422393878424,368.8422393586756
wavelet_var,5.044626130833333e-08,110.71133023052674,110.71133018008048
zero_cross,96.0,0.0,96.0
spectrogram_mean_coeff,4.163230998611111e-08,88.59294325695652,88.59294321532421
ecdf_percentile_count,246.43055555555554,182.5,63.93055555555554
calc_centroid,271.063240815248,211.6342722340077,59.42896858124027
calc_var,2.4380218733333333e-08,59.265534211291865,59.265534186911644
calc_max,0.0004531707730055973,39.463750000000005,39.463296829227
pk_pk_distance,0.0007738588848087333,36.93375,36.9329761411152
negative_turning,70.94444444444444,106.0,35.05555555555556
positive_turning,70.72222222222223,102.0,31.27777777777777
hist_mode,3.919363384818889e-05,22.843562500000004,22.843523306366155
spectral_positive_turning,76.44444444444444,57.0,19.444444444444443
rms,0.00015924491716335834,19.17901128073225,19.178852035815087
calc_median,4.687107562572778e-05,18.009999999999998,18.009953128924373
calc_mean,5.4912694298586104e-05,17.566130464480874,17.566075551786575
max_power_spectrum,29.114650192663717,46.56658356668508,17.451933374021365
mfcc,33.43846837070152,16.81092172554682,16.627546645154702
ecdf_percentile,5.337793071875556e-05,16.15,16.14994662206928
autocorr,2.3333333333333335,16.0,13.666666666666666
interq_range,0.00018095994279982778,11.2975,11.2973190400572
wavelet_energy,0.00020057982166545,9.869025270006606,9.86882469018494
wavelet_std,0.00020049684263950278,9.838849926673207,9.838649429830568
calc_std,0.00014481633838439722,7.698411148496283,7.698266332157899
mean_abs_deviation,0.000113414944314625,6.123227160410881,6.123113745466567
median_abs_deviation,9.053873023986389e-05,5.23,5.22990946126976
maximum_fractal_length,-1.3696988028975947,3.067324614061027,4.437023416958622
mean_abs_diff,9.981767806954445e-05,3.052308219178082,3.0522084015000126
calc_min,-0.00032068811180313334,2.53,2.5303206881118028
median_abs_diff,6.138855885443333e-05,2.4899999999999984,2.489938611441144
spectral_decrease,-0.24838083701326352,-2.1948051946545566,1.946424357641293
spectral_kurtosis,2.015094984498421,3.5602381155965497,1.5451431310981287
spectral_skewness,0.4502546448043014,1.327210387825893,0.8769557430215915
wavelet_abs_mean,3.8790674972916665e-06,0.7237566516415059,0.7237527725740086
neighbourhood_peaks,15.444444444444445,16.0,0.5555555555555554
lpcc,0.2407817408989915,0.7518089241756809,0.5110271832766894
spectral_variation,0.24634141683385705,0.5173307303557213,0.2709893135218643
dfa,0.8492968137067557,1.114133833107347,0.26483701940059123
spectral_entropy,0.8590078257184928,0.6136558014439318,0.24535202427456093
skewness,0.1978640871054481,0.3709744883541151,0.17311040124866703
higuchi_fractal_dimension,1.9149088147208095,1.751648991773797,0.16325982294701258
median_frequency,0.1654150595029753,0.0327868852459016,0.1326281742570737
kurtosis,0.09499703619658231,0.2090235767867438,0.11402654059016148
power_bandwidth,0.39366442738911805,0.2896174863387978,0.10404694105032025
spectral_centroid,0.19243336036513015,0.1037125330542009,0.08872082731092924
mse,1.1658907773910336,1.090962262963038,0.07492851442799564
hurst_exponent,0.7536576833875217,0.8068966907520105,0.05323900736448883
spectral_roll_off,0.4592575784509532,0.4153005464480874,0.043957032002865826
max_frequency,0.4592575784509532,0.4153005464480874,0.043957032002865826
wavelet_entropy,2.164411889282162,2.1356947315802284,0.028717157701933615
slope,1.3679851143611112e-07,0.0272796196851034,0.027279482886591964
spectral_slope,-0.0140282871888667,-0.037749386299997,0.023721099111130302
lempel_ziv,0.19120183831730406,0.1693989071038251,0.021802931213478954
entropy,0.9800723680949179,0.9653359320470156,0.014736436047902313
mean_diff,-4.049927504166666e-08,0.0112602739726027,0.01126031447187774
petrosian_fractal_dimension,1.0259790897615584,1.036919563033854,0.010940473272295526
spectral_spread,0.14836205379536913,0.1375274716419097,0.010834582153459421
fundamental_frequency,0.004056767294800211,0.0054644808743169,0.0014077135795166886
ecdf,0.014919342871860324,0.0150273224043715,0.00010797953251117688
median_diff,-1.0570696189444454e-07,0.0,1.0570696189444454e-07
human_range_energy,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0
