,Cluster_0,Cluster_1,Selisih_Absolut
abs_energy,-0.16666666666666663,6.0,6.166666666666667
average_power,-0.16666666666666666,6.0,6.166666666666667
spectrogram_mean_coeff,-0.16666666666666666,6.0,6.166666666666667
calc_var,-0.16666666666666663,6.0,6.166666666666667
wavelet_var,-0.16666666666666663,5.999999999999999,6.166666666666666
hist_mode,-0.16666666665261054,5.999999999493979,6.16666666614659
calc_median,-0.16666666665255064,5.999999999491823,6.166666666144374
calc_mean,-0.16666666664974383,5.999999999390779,6.1666666660405225
ecdf_percentile,-0.16666666664701177,5.999999999292425,6.166666665939436
rms,-0.16666666663539775,5.99999999887432,6.166666665509718
wavelet_abs_mean,-0.16666666662062551,5.999999998342519,6.166666664963144
slope,-0.16666666660652402,5.999999997834864,6.166666664441388
calc_max,-0.16666666659535756,5.999999997432871,6.166666664028229
interq_range,-0.1666666665163174,5.999999994587427,6.166666661103744
mean_abs_deviation,-0.16666666649103656,5.999999993677315,6.166666660168352
median_abs_deviation,-0.16666666648955025,5.999999993623809,6.166666660113359
calc_std,-0.166666666489333,5.9999999936159885,6.166666660105322
wavelet_energy,-0.16666666644010825,5.999999991843896,6.166666658284004
wavelet_std,-0.16666666643862266,5.999999991790415,6.166666658229038
pk_pk_distance,-0.1666666664088479,5.999999990718523,6.166666657127371
median_abs_diff,-0.16666666629164198,5.999999986499112,6.166666652790753
sum_abs_diff,-0.1666666660855841,5.999999979081027,6.166666645166611
mean_abs_diff,-0.16666666599704139,5.99999997589349,6.166666641890532
auc,-0.16666666546518555,5.999999956746679,6.1666666222118645
mean_diff,-0.16666665598342706,5.9999996154033735,6.1666662713868
calc_min,-0.16666665429701824,5.999999554692656,6.166666208989675
spectral_distance,0.16665847651308438,-5.999705154471037,6.166363630984121
maximum_fractal_length,-0.15782371998064312,5.681653919303143,5.8394776392837855
spectral_decrease,0.12389845298096724,-4.46034430731482,4.584242760295787
autocorr,-0.11560354606971905,4.161727658509887,4.277331204579606
spectral_slope,0.10616994918355815,-3.82211817060809,3.928288119791648
spectral_entropy,0.10425302919104924,-3.753109050877768,3.857362080068817
lpcc,-0.10311872287736071,3.7122740235849996,3.8153927464623605
spectral_kurtosis,-0.09523213144536995,3.4283567320333423,3.5235888634787123
max_frequency,0.09170753298110967,-3.301471187319927,3.3931787203010364
spectral_roll_off,0.09170753298110967,-3.301471187319927,3.3931787203010364
spectral_centroid,0.09050225604790524,-3.2580812177245946,3.3485834737725
median_frequency,0.08972255486268428,-3.2300119750565983,3.3197345299192826
spectral_skewness,-0.0894950237148946,3.2218208537361974,3.311315877451092
zero_cross,0.08644636324390023,-3.112069076780407,3.198515440024307
higuchi_fractal_dimension,0.08326877036797808,-2.997675733247178,3.0809445036151564
spectral_variation,-0.06474956972991333,2.3309845102768785,2.395734080006792
spectral_spread,0.06321471093115982,-2.27572959352164,2.3389443044527995
dfa,-0.049363571858132005,1.7770885868927755,1.8264521587509075
negative_turning,-0.04769317674660409,1.7169543628777544,1.7646475396243584
petrosian_fractal_dimension,-0.0438662595803642,1.5791853448914641,1.6230516044718284
positive_turning,-0.04240057872900425,1.5264208342441579,1.5688214129731621
mfcc,0.04088482786290041,-1.471853803064415,1.5127386309273154
power_bandwidth,0.03935860441360238,-1.416909758889704,1.4562683633033062
distance,-0.025098924724081716,0.9035612900669417,0.9286602147910235
hurst_exponent,-0.02434424952440913,0.8763929828787309,0.9007372324031401
wavelet_entropy,0.02387404773398598,-0.8594657184229494,0.8833397661569353
skewness,-0.02277990205828821,0.8200764740983744,0.8428563761566625
lempel_ziv,0.02089346803719058,-0.7521648493388252,0.7730583173760158
fundamental_frequency,-0.01828555887642623,0.6582801195513398,0.676565678427766
ecdf_slope,0.016497884567569496,-0.5939238444325021,0.6104217290000716
max_power_spectrum,-0.011710804097905043,0.42158894752458237,0.4332997516224874
mse,0.011395367716890653,-0.4102332378080669,0.42162860552495757
kurtosis,-0.00828641456680009,0.2983109244048045,0.30659733897160457
entropy,0.005328410297727872,-0.19182277071823,0.19715118101595788
spectral_positive_turning,0.004701639054860724,-0.16925900597498614,0.17396064502984687
neighbourhood_peaks,-0.004559865388340433,0.1641551539802536,0.16871501936859404
ecdf_percentile_count,0.004461588209744131,-0.16061717555078805,0.16507876376053218
calc_centroid,0.003575394583715508,-0.12871420501375755,0.13228959959747305
ecdf,-0.0010996664883108369,0.0395879935791925,0.04068766006750334
median_diff,-0.00043432972626356037,0.015635870145488694,0.016070199871752254
human_range_energy,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0
